State_code,State_name
JNK,Jammu and Kashmir
GUJ,Gujarat
RAJ,Rajasthan
MAH,Maharashtra
GOA,Goa
MDP,Madhya Pradesh
KAR,Karnataka
PUN,Punjab
KER,Kerala
HAR,Haryana
HIP,Himachal Pradesh
TND,Tamil Nadu
CHD,Chandigarh
DEL,Delhi
UTP,Uttar Pradesh
TEL,Telangana
ANP,Andhra Pradesh
CHT,Chhattisgarh
ORI,Orissa
BIH,Bihar
JHK,Jharkhand
WEB,West Bengal
SIK,Sikkim
ASM,Assam
MEG,Meghalaya
TRI,Tripura
ARP,Arunachal Pradesh
MIZ,Mizoram
MAN,Manipur
NAG,Nagaland
